,title,model_family,downstream_application,omics_modality
168,SENSITIVITY BASED MODEL AGNOSTIC SCALABLE EXPLANATIONS OF DEEP LEARNING.,hybrid_symbolic_statistical,cell_type_annotation,scRNA-seq
169,Towards the Next Generation of Data-Driven Therapeutics Using Spatially Resolved Single-Cell Technologies and Generative AI.,variational_autoencoder,"generation, spatial_reconstruction, multimodal_integration",Spatial
170,SEE: A Method for Predicting the Dynamics of Chromatin Conformation Based on Single-Cell Gene Expression.,variational_autoencoder,unspecified,scATAC-seq
171,Advancing plant single-cell genomics with foundation models.,transformer_masked_lm,"cell_type_annotation, batch_correction, generation, multimodal_integration",unspecified
172,Transformers in single-cell omics: a review and new perspectives.,foundation_scale_pretraining,unspecified,unspecified
173,xSiGra: explainable model for single-cell spatial data elucidation.,multimodal_fusion,"cell_type_annotation, spatial_reconstruction, multimodal_integration",Spatial
174,The multimodality cell segmentation challenge: toward universal solutions.,multimodal_fusion,"cell_type_annotation, multimodal_integration",unspecified
175,Innovative super-resolution in spatial transcriptomics: a transformer model exploiting histology images and spatial gene expression.,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
176,Unbiased single-cell morphology with self-supervised vision transformers.,hybrid_symbolic_statistical,cell_type_annotation,unspecified
177,CpG Transformer for imputation of single-cell methylomes.,hybrid_symbolic_statistical,generation,Methylation/Epigenomics
178,Single Cell Inference of Cancer Drug Response Using Pathway‐Based Transformer Network,perturbation_prediction,perturbation_prediction,scRNA-seq
179,MarsGT: Multi-omics analysis for rare population inference using single-cell graph transformer,graph_neural_network,"cell_type_annotation, multimodal_integration",unspecified
180,Single-cell biological network inference using a heterogeneous graph transformer,multimodal_fusion,"cell_type_annotation, multimodal_integration","scRNA-seq, scATAC-seq, Protein/CITE-seq"
181,STGRNS: an interpretable transformer-based method for inferring gene regulatory networks from single-cell transcriptomic data,hybrid_symbolic_statistical,unspecified,scRNA-seq
182,CIForm as a Transformer-based model for cell-type annotation of large-scale single-cell RNA-seq data,hybrid_symbolic_statistical,"cell_type_annotation, batch_correction",scRNA-seq
183,TransCluster: A Cell-Type Identification Method for single-cell RNA-Seq data using deep learning based on transformer,other_or_unclassified,cell_type_annotation,scRNA-seq
184,GRLGRN: graph representation-based learning to infer gene regulatory networks from single-cell RNA-seq data,hybrid_symbolic_statistical,perturbation_prediction,scRNA-seq
185,"Inferring single-cell resolution spatial gene expression via fusing spot-based spatial transcriptomics, location, and histology using GCN",graph_neural_network,"cell_type_annotation, batch_correction, generation, spatial_reconstruction, multimodal_integration","scRNA-seq, Spatial"
186,Topology and Control Method of a Single-Cell Matrix-Type Solid-State Transformer,other_or_unclassified,unspecified,unspecified
187,scEMB: Learning context representation of genes based on large-scale single-cell transcriptomics,transformer_masked_lm,"cell_type_annotation, perturbation_prediction, batch_correction",scRNA-seq
188,Transformer-based deep learning for accurate detection of multiple base modifications using single molecule real-time sequencing,hybrid_symbolic_statistical,unspecified,scATAC-seq
189,Demonstration of transformer-based ALBERT model on a 14nm analog AI inference chip,transformer_masked_lm,unspecified,unspecified
190,xTrimoGene: An Efficient and Scalable Representation Learner for Single-Cell RNA-Seq Data,foundation_scale_pretraining,"cell_type_annotation, perturbation_prediction",scRNA-seq
191,Single-Cell Raman Profiling Enables Rapid Precision Phage Therapy Against Multidrug-Resistant Hypervirulent Klebsiella pneumoniae,other_or_unclassified,perturbation_prediction,unspecified
192,DeepMAPS: Single-cell biological network inference using heterogeneous graph,other_or_unclassified,unspecified,unspecified
193,CellPLM: Pre-training of Cell Language Model Beyond Single Cells,spatial_omics,spatial_reconstruction,"scRNA-seq, Spatial"
194,Multimodal foundation transformer models for multiscale genomics,multimodal_fusion,multimodal_integration,unspecified
195,A novel sequence-based transformer model architecture for integrating multi-omics data in preterm birth risk prediction,multimodal_fusion,"batch_correction, multimodal_integration",unspecified
196,MetaLLM: Residue-wise Metal ion Prediction Using Deep Transformer Model,foundation_scale_pretraining,unspecified,unspecified
197,Single Cells Are Spatial Tokens: Transformers for Spatial Transcriptomic Data Imputation,spatial_omics,"generation, spatial_reconstruction","scRNA-seq, Spatial"
198,Deciphering cell types by integrating scATAC-seq data with genome sequences,foundation_scale_pretraining,"cell_type_annotation, multimodal_integration",scATAC-seq
199,Self-Supervised Learning of Phenotypic Representations from Cell Images with Weak Labels,hybrid_symbolic_statistical,"cell_type_annotation, batch_correction",unspecified
200,scFed: federated learning for cell type classification with scRNA-seq,foundation_scale_pretraining,cell_type_annotation,scRNA-seq
201,SToFM: a Multi-scale Foundation Model for Spatial Transcriptomics,spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
202,A Microprocessor Resource-Saving Dual Active Bridge Control for Startup and Restart of Three-Stage Modular Solid-State Transformer,foundation_scale_pretraining,unspecified,unspecified
203,"Solid-State Transformer for Power Distribution Grid Based on a Hybrid Switched-Capacitor LLC-SRC Converter: Analysis, Design, and Experimentation",foundation_scale_pretraining,generation,unspecified
204,"HybridDeepSynergy: A hybrid deep learning model integrating CNN, LSTM, and attention mechanisms for cancer drug synergy prediction",hybrid_symbolic_statistical,perturbation_prediction,unspecified
205,scTransSort: Transformers for Intelligent Annotation of Cell Types by Gene Embeddings,foundation_scale_pretraining,cell_type_annotation,scRNA-seq
206,DiffDecompose: Layer-Wise Decomposition of Alpha-Composited Images via Diffusion Transformers,transformer_masked_lm,generation,unspecified
207,stFormer: a foundation model for spatial transcriptomics,spatial_omics,spatial_reconstruction,unspecified
208,Empirical evaluation of language modeling to ascertain cancer outcomes from clinical text reports,transformer_masked_lm,cell_type_annotation,unspecified
209,Block-Recurrent Transformers,foundation_scale_pretraining,unspecified,unspecified
210,"Advancing bioinformatics with large language models: components, applications and perspectives",foundation_scale_pretraining,"cell_type_annotation, perturbation_prediction","scRNA-seq, Protein/CITE-seq"
211,Solid State Transformers: An Emerging Trend in Power Quality Improvement,foundation_scale_pretraining,unspecified,unspecified
212,Single-cell RNA-seq data augmentation using generative Fourier transformer,foundation_scale_pretraining,cell_type_annotation,scRNA-seq
213,TEDDY: A Family Of Foundation Models For Understanding Single Cell Biology,foundation_scale_pretraining,"cell_type_annotation, perturbation_prediction",unspecified
214,Scaling Dense Representations for Single Cell with Transcriptome-Scale Context,transformer_masked_lm,"cell_type_annotation, perturbation_prediction",scRNA-seq
215,Transformer-Based Hematological Malignancy Prediction from Peripheral Blood Smears in a Real-World Cohort,foundation_scale_pretraining,cell_type_annotation,unspecified
216,DVPNet: A New XAI-Based Interpretable Genetic Profiling Framework Using Nucleotide Transformer and Probabilistic Circuits,other_or_unclassified,unspecified,unspecified
217,Multimodal AI predicts clinical outcomes of drug combinations from preclinical data,multimodal_fusion,"perturbation_prediction, multimodal_integration",scRNA-seq
218,Abstract 6312: AI-Driven Identification of Drug-Tolerant Persister Cells in Lung Cancer,foundation_scale_pretraining,"cell_type_annotation, perturbation_prediction, batch_correction",scRNA-seq
219,Artificial intelligence predicts genetic network disruptions to overcome CAR-T resistance in Mantle Cell Lymphoma,perturbation_prediction,"cell_type_annotation, perturbation_prediction, generation, multimodal_integration","scRNA-seq, Protein/CITE-seq"
220,What Topological and Geometric Structure Do Biological Foundation Models Learn? Evidence from 141 Hypotheses,transformer_masked_lm,unspecified,unspecified
221,Artificial Intelligence to Automate Health Economic Modelling: A Case Study to Evaluate the Potential Application of Large Language Models,foundation_scale_pretraining,generation,unspecified
222,STEP: Spatial Transcriptomics Embedding Procedure for Multi-scale Biological Heterogeneities Revelation in Multiple Samples,variational_autoencoder,"cell_type_annotation, batch_correction, spatial_reconstruction","scRNA-seq, Spatial"
223,"Extending Fairness in Single-Cell AI: Evaluating Age, Sex, and Ethnicity Bias with Synthetic Data Augmentation",transformer_masked_lm,generation,unspecified
224,Single-cell AI-based detection and prognostic and predictive value of DNA mismatch repair deficiency in colorectal cancer,foundation_scale_pretraining,"cell_type_annotation, multimodal_integration",Protein/CITE-seq
225,"Precision Recovery After Spinal Cord Injury: Integrating CRISPR Technologies, AI-Driven Therapeutics, Single-Cell Omics, and System Neuroregeneration",perturbation_prediction,"perturbation_prediction, generation",unspecified
226,A joint analysis of single cell transcriptomics and proteomics using transformer,foundation_scale_pretraining,multimodal_integration,"scRNA-seq, Protein/CITE-seq"
227,"scBaseCount: an AI agent-curated, uniformly processed, and autonomously updated single cell data repository",other_or_unclassified,unspecified,unspecified
228,Inferring spatial single-cell-level interactions through interpreting cell state and niche correlations learned by self-supervised graph transformer,spatial_omics,spatial_reconstruction,unspecified
229,HGATLink: single-cell gene regulatory network inference via the fusion of heterogeneous graph attention networks and transformer,multimodal_fusion,cell_type_annotation,scRNA-seq
230,Enhancing Single-Cell and Bulk Hi-C Data Using a Generative Transformer Model,hybrid_symbolic_statistical,unspecified,unspecified
231,scmFormer Integrates Large‐Scale Single‐Cell Proteomics and Transcriptomics Data by Multi‐Task Transformer,multimodal_fusion,"cell_type_annotation, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, Protein/CITE-seq, Spatial"
232,Transformer-based Single-Cell Language Model: A Survey,perturbation_prediction,"cell_type_annotation, perturbation_prediction, batch_correction",unspecified
233,An Agentic AI Framework for Ingestion and Standardization of Single-Cell RNA-seq Data Analysis,other_or_unclassified,unspecified,unspecified
234,A Multi-Modal AI Copilot for Single-Cell Analysis with Instruction Following,multimodal_fusion,"cell_type_annotation, perturbation_prediction, generation",scRNA-seq
235,"Real‐Time Eco–AI, Electrophoresis‐Correlative Data‐Dependent Acquisition with AI‐Based Data Processing Broadens Access to Single‐Cell Mass Spectrometry Proteomics",multimodal_fusion,"spatial_reconstruction, multimodal_integration",Protein/CITE-seq
236,scGREAT: Transformer-based deep-language model for gene regulatory network inference from single-cell transcriptomics,spatial_omics,"cell_type_annotation, spatial_reconstruction","scRNA-seq, Spatial"
237,Fragment-Fusion Transformer: Deep Learning-Based Discretization Method for Continuous Single-Cell Raman Spectral Analysis.,multimodal_fusion,cell_type_annotation,unspecified
238,Towards Precision Aging Biology: Single-Cell Multi-Omics and Advanced AI-Driven Strategies,multimodal_fusion,"cell_type_annotation, biomarker_discovery, batch_correction, spatial_reconstruction, multimodal_integration","scRNA-seq, scATAC-seq, Protein/CITE-seq, Spatial"
